"m","beta","ell","high","prior","proposals","direct_max","formula_max"
3,0.2,0.5,0.8,0.3,160,0.866666666666667,0.866666666666667
3,0.2,0.5,0.8,0.8,160,0.866666666666667,0.866666666666667
3,0.2,0.5,0.8,1,160,0.866666666666667,0.866666666666667
3,0.9,0.05,0.15,0,160,0.655,0.655
3,0.9,0.05,0.15,0.01,160,0.65145,0.65145
3,0.9,0.05,0.15,0.3,160,0.565,0.565
3,0.9,0.05,0.15,0.8,160,0.565,0.565
3,0.9,0.05,0.15,1,160,0.565,0.565
3,0.9,0.05,0.15,0.71830985915493,160,0.565,0.565
3,0.9,0.05,0.15,0.253521126760563,160,0.565,0.565
3,0.9,0.1,0.333333333333333,0,160,0.61,0.61
3,0.9,0.1,0.333333333333333,0.01,160,0.6069,0.6069
3,0.9,0.1,0.333333333333333,0.3,160,0.517,0.517
3,0.9,0.1,0.333333333333333,0.8,160,0.4,0.4
3,0.9,0.1,0.333333333333333,1,160,0.4,0.4
3,0.9,0.1,0.333333333333333,0.67741935483871,160,0.4,0.4
3,0.9,0.1,0.333333333333333,0.67741935483871,160,0.4,0.4
3,0.9,0.333333333333333,0.7,0,140,0.4,0.4
3,0.9,0.333333333333333,0.7,0.01,140,0.4,0.4
3,0.9,0.333333333333333,0.7,0.3,140,0.4,0.4
3,0.9,0.333333333333333,0.7,0.8,140,0.4,0.4
3,0.9,0.333333333333333,0.7,1,140,0.4,0.4
3,0.9,0.1,0.7,0,143,0.61,0.61
3,0.9,0.1,0.7,0.01,143,0.6069,0.6069
3,0.9,0.1,0.7,0.3,143,0.517,0.517
3,0.9,0.1,0.7,0.8,143,0.4,0.4
3,0.9,0.1,0.7,1,143,0.4,0.4
3,0.9,0.1,0.7,0.67741935483871,143,0.4,0.4
3,0.9,0.5,0.8,0,114,0.4,0.4
3,0.9,0.5,0.8,0.01,114,0.4,0.4
3,0.9,0.5,0.8,0.3,114,0.4,0.4
3,0.9,0.5,0.8,0.8,114,0.4,0.4
3,0.9,0.5,0.8,1,114,0.4,0.4
3,0.999,0.05,0.15,0,160,0.61705,0.61705
3,0.999,0.05,0.15,0.01,160,0.6142095,0.6142095
3,0.999,0.05,0.15,0.3,160,0.531835,0.531835
3,0.999,0.05,0.15,0.8,160,0.51715,0.51715
3,0.999,0.05,0.15,1,160,0.51715,0.51715
3,0.999,0.05,0.15,0.996479493046999,160,0.51715,0.51715
3,0.999,0.05,0.15,0.351698644604823,160,0.51715,0.51715
3,0.999,0.1,0.333333333333333,0,153,0.5671,0.5671
3,0.999,0.1,0.333333333333333,0.01,153,0.564759,0.564759
3,0.999,0.1,0.333333333333333,0.3,153,0.49687,0.49687
3,0.999,0.1,0.333333333333333,0.8,153,0.37982,0.37982
3,0.999,0.1,0.333333333333333,1,153,0.334,0.334
3,0.999,0.1,0.333333333333333,0.995728321230244,153,0.334,0.334
3,0.999,0.1,0.333333333333333,0.995728321230243,153,0.334,0.334
3,0.999,0.333333333333333,0.7,0,115,0.334,0.334
3,0.999,0.333333333333333,0.7,0.01,115,0.334,0.334
3,0.999,0.333333333333333,0.7,0.3,115,0.334,0.334
3,0.999,0.333333333333333,0.7,0.8,115,0.334,0.334
3,0.999,0.333333333333333,0.7,1,115,0.334,0.334
3,0.999,0.1,0.7,0,122,0.5671,0.5671
3,0.999,0.1,0.7,0.01,122,0.564759,0.564759
3,0.999,0.1,0.7,0.3,122,0.49687,0.49687
3,0.999,0.1,0.7,0.8,122,0.37982,0.37982
3,0.999,0.1,0.7,1,122,0.334,0.334
3,0.999,0.1,0.7,0.995728321230244,122,0.334,0.334
3,0.999,0.5,0.8,0,108,0.334,0.334
3,0.999,0.5,0.8,0.01,108,0.334,0.334
3,0.999,0.5,0.8,0.3,108,0.334,0.334
