"beta","t0","t1","o","mu2_star","a0_1","a1","no_cheap_H_margin","candidate_pattern","any_H_prefers_U","interior_Delta_crossing","mu_share_H_prefers_U","max_V_W_U","min_entry_gap_M_minus_U"
0.5,0.25,0.36,0,0.146666666666667,0.305,0.36,0.208333333333333,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0579166666666667,0.0254166666666667
0.55,0.25,0.36,0,0.146666666666667,0.3105,0.36,0.204166666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0574583333333333,0.025875
0.6,0.25,0.36,0,0.146666666666667,0.316,0.36,0.2,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.057,0.0263333333333333
0.65,0.25,0.36,0,0.146666666666667,0.3215,0.36,0.195833333333333,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0565416666666667,0.0267916666666667
0.7,0.25,0.36,0,0.146666666666667,0.327,0.36,0.191666666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0560833333333333,0.02725
0.75,0.25,0.36,0,0.146666666666667,0.3325,0.36,0.1875,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.055625,0.0277083333333333
0.8,0.25,0.36,0,0.146666666666667,0.338,0.36,0.183333333333333,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0551666666666667,0.0281666666666667
0.85,0.25,0.36,0,0.146666666666667,0.3435,0.36,0.179166666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0547083333333333,0.028625
0.9,0.25,0.36,0,0.146666666666667,0.349,0.36,0.175,"delay_plus_pooling",TRUE,FALSE,0.947052947052947,0.05625,0.0270833333333333
0.45,0.3,0.41,0,0.157142857142857,0.3495,0.41,0.2625,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0542083333333333,0.029125
0.5,0.3,0.41,0,0.157142857142857,0.355,0.41,0.258333333333333,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.05375,0.0295833333333333
0.55,0.3,0.41,0,0.157142857142857,0.3605,0.41,0.254166666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0532916666666667,0.0300416666666667
0.6,0.3,0.41,0,0.157142857142857,0.366,0.41,0.25,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0528333333333333,0.0305
0.65,0.3,0.41,0,0.157142857142857,0.3715,0.41,0.245833333333333,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.052375,0.0309583333333333
0.7,0.3,0.41,0,0.157142857142857,0.377,0.41,0.241666666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0519166666666667,0.0314166666666667
0.75,0.3,0.41,0,0.157142857142857,0.3825,0.41,0.2375,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0514583333333333,0.031875
0.8,0.3,0.41,0,0.157142857142857,0.388,0.41,0.233333333333333,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.051,0.0323333333333333
0.85,0.3,0.41,0,0.157142857142857,0.3935,0.41,0.229166666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0505416666666667,0.0327916666666667
0.9,0.3,0.41,0,0.157142857142857,0.399,0.41,0.225,"delay_plus_pooling",TRUE,FALSE,0.935064935064935,0.0525,0.0308333333333333
0.45,0.35,0.46,0,0.169230769230769,0.3995,0.46,0.3125,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0500416666666667,0.0332916666666667
0.5,0.35,0.46,0,0.169230769230769,0.405,0.46,0.308333333333333,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0495833333333333,0.03375
0.55,0.35,0.46,0,0.169230769230769,0.4105,0.46,0.304166666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.049125,0.0342083333333333
