"o","branch","gap"
0.350315864197531,"H excluded; majority agreement",-0.16624415
0.351318922839506,"H excluded; majority agreement",-0.1654316725
0.352321981481482,"H excluded; majority agreement",-0.164619195
0.353325040123457,"H excluded; majority agreement",-0.1638067175
0.354328098765432,"H excluded; majority agreement",-0.16299424
0.355331157407407,"H excluded; majority agreement",-0.1621817625
0.356334216049383,"H excluded; majority agreement",-0.161369285
0.357337274691358,"H excluded; majority agreement",-0.1605568075
0.358340333333333,"H excluded; majority agreement",-0.15974433
0.359343391975309,"H excluded; majority agreement",-0.1589318525
0.360346450617284,"H excluded; majority agreement",-0.158119375
0.361349509259259,"H excluded; majority agreement",-0.1573068975
0.362352567901235,"H excluded; majority agreement",-0.15649442
0.36335562654321,"H excluded; majority agreement",-0.1556819425
0.364358685185185,"H excluded; majority agreement",-0.154869465
0.36536174382716,"H excluded; majority agreement",-0.1540569875
0.366364802469136,"H excluded; majority agreement",-0.15324451
0.367367861111111,"H excluded; majority agreement",-0.1524320325
0.368370919753086,"H excluded; majority agreement",-0.151619555
0.369373978395062,"H excluded; majority agreement",-0.1508070775
0.370377037037037,"H excluded; majority agreement",-0.1499946
0.371380095679012,"H excluded; majority agreement",-0.1491821225
0.372383154320988,"H excluded; majority agreement",-0.148369645
0.373386212962963,"H excluded; majority agreement",-0.1475571675
0.374389271604938,"H excluded; majority agreement",-0.14674469
0.375392330246914,"H excluded; majority agreement",-0.1459322125
0.376395388888889,"H excluded; majority agreement",-0.145119735
0.377398447530864,"H excluded; majority agreement",-0.1443072575
0.37840150617284,"H excluded; majority agreement",-0.14349478
0.379404564814815,"H excluded; majority agreement",-0.1426823025
0.38040762345679,"H excluded; majority agreement",-0.141869825
0.381410682098765,"H excluded; majority agreement",-0.1410573475
0.382413740740741,"H excluded; majority agreement",-0.14024487
0.383416799382716,"H excluded; majority agreement",-0.1394323925
0.384419858024691,"H excluded; majority agreement",-0.138619915
0.385422916666667,"H excluded; majority agreement",-0.1378074375
0.386425975308642,"H excluded; majority agreement",-0.13699496
0.387429033950617,"H excluded; majority agreement",-0.1361824825
0.388432092592593,"H excluded; majority agreement",-0.135370005
0.389435151234568,"H excluded; majority agreement",-0.1345575275
0.390438209876543,"H excluded; majority agreement",-0.13374505
0.391441268518519,"H excluded; majority agreement",-0.1329325725
0.392444327160494,"H excluded; majority agreement",-0.132120095
0.393447385802469,"H excluded; majority agreement",-0.1313076175
0.394450444444444,"H excluded; majority agreement",-0.13049514
0.39545350308642,"H excluded; majority agreement",-0.1296826625
0.396456561728395,"H excluded; majority agreement",-0.128870185
0.39745962037037,"H excluded; majority agreement",-0.1280577075
0.398462679012346,"H excluded; majority agreement",-0.12724523
0.399465737654321,"H excluded; majority agreement",-0.1264327525
0.400468796296296,"H excluded; majority agreement",-0.125620275
0.401471854938272,"H excluded; majority agreement",-0.1248077975
0.402474913580247,"H excluded; majority agreement",-0.12399532
0.403477972222222,"H excluded; majority agreement",-0.1231828425
0.404481030864198,"H excluded; majority agreement",-0.122370365
0.405484089506173,"H excluded; majority agreement",-0.1215578875
0.406487148148148,"H excluded; majority agreement",-0.12074541
0.407490206790123,"H excluded; majority agreement",-0.1199329325
0.408493265432099,"H excluded; majority agreement",-0.119120455
0.409496324074074,"H excluded; majority agreement",-0.1183079775
0.410499382716049,"H excluded; majority agreement",-0.1174955
0.411502441358025,"H excluded; majority agreement",-0.1166830225
0.4125055,"H excluded; majority agreement",-0.115870545
0.413508558641975,"H excluded; majority agreement",-0.1150580675
0.414511617283951,"H excluded; majority agreement",-0.11424559
0.415514675925926,"H excluded; majority agreement",-0.1134331125
0.416517734567901,"H excluded; majority agreement",-0.112620635
0.417520793209877,"H excluded; majority agreement",-0.1118081575
0.418523851851852,"H excluded; majority agreement",-0.11099568
0.419526910493827,"H excluded; majority agreement",-0.1101832025
0.420529969135802,"H excluded; majority agreement",-0.109370725
0.421533027777778,"H excluded; majority agreement",-0.1085582475
0.422536086419753,"H excluded; majority agreement",-0.10774577
0.423539145061728,"H excluded; majority agreement",-0.1069332925
0.424542203703704,"H excluded; majority agreement",-0.106120815
0.425545262345679,"H excluded; majority agreement",-0.1053083375
0.426548320987654,"H excluded; majority agreement",-0.10449586
0.42755137962963,"H excluded; majority agreement",-0.1036833825
0.428554438271605,"H excluded; majority agreement",-0.102870905
0.42955749691358,"H excluded; majority agreement",-0.1020584275
0.430560555555556,"H excluded; majority agreement",-0.10124595
0.431563614197531,"H excluded; majority agreement",-0.1004334725
0.432566672839506,"H excluded; majority agreement",-0.099620995
0.433569731481481,"H excluded; majority agreement",-0.0988085175
0.434572790123457,"H excluded; majority agreement",-0.09799604
