"node","status","N","pair_id","o_0","o_1","beta","nu","cell_id","selected_class","proposer_payoff","H_theta_0","H_theta_1"
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,0.2,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,0.20000000000001,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,0.200000000001,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,0.20000001,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,0.2000001,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,0.25,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,0.333333233333333,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,0.333333323333333,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,0.333333333332333,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,0.333333333333323,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,0.333333333333333,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,0.333333333333343,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,0.333333333334333,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,0.333333343333333,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,0.333333433333333,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,0.5,"N1-UNIQUE","E",1,0.0625,0.25
